// With the following params
/* Probability distributions for events */
var INCUBATION_MIN = 2;
1595,0,0,0,0,5,20,0,0,3,0,17;
960,0,0,148,0,492,0,0,0,8,0,32;
1594,0,0,2,0,4,19,0,0,7,0,14;
855,0,0,187,0,558,0,0,0,10,0,30;
407,0,0,307,0,886,0,0,0,11,0,29;
707,0,0,217,0,676,0,0,0,6,0,34;
810,1,0,197,8,584,0,0,0,9,0,31;
1599,0,0,0,0,1,30,0,0,3,0,7;
728,5,4,200,16,647,0,0,0,5,0,35;
761,17,6,197,31,588,0,0,0,9,0,31;
424,0,0,294,0,882,0,0,0,10,0,30;
1599,0,0,0,0,1,39,0,0,1,0,0;
820,3,1,202,5,569,0,0,0,16,0,24;
672,4,4,221,6,693,0,0,0,10,0,30;
748,9,2,216,14,611,0,0,0,6,0,34;
480,0,0,259,0,861,0,0,0,8,0,32;
531,1,2,249,1,816,0,0,0,10,0,30;
1391,0,0,55,0,154,0,0,0,9,0,31;
418,0,0,295,0,887,0,0,0,14,0,26;
648,7,1,215,12,717,0,0,0,12,0,28;
633,10,6,229,19,703,0,0,0,6,0,34;
352,0,0,314,0,934,0,0,0,9,0,31;
334,0,0,295,0,971,0,0,0,11,0,29;
471,3,1,288,3,834,0,0,0,13,0,27;
404,5,1,334,2,854,0,0,0,6,0,34;
823,5,1,165,5,601,0,0,0,7,0,33;
1386,0,0,43,0,171,0,0,0,8,0,32;
758,0,0,218,0,624,0,0,0,13,0,27;
473,0,1,308,3,815,0,0,0,14,0,26;
1469,0,0,35,0,96,0,0,0,9,0,31;
440,0,0,278,0,882,0,0,0,9,0,31;
337,3,1,307,3,949,0,0,0,10,0,30;
1598,0,0,0,0,2,35,0,0,1,0,4;
610,9,5,235,14,727,0,0,0,12,0,28;
704,6,3,226,7,654,0,0,0,11,0,29;
843,0,0,196,0,561,0,0,0,8,0,32;
712,4,1,221,9,653,0,0,0,12,0,28;
1597,0,0,0,0,3,21,0,0,3,0,16]

// COVARIANCE MATRIX
0                   0  -0.008727600000000                   0  -0.024393846464646
0                   0   0.000028088888889                   0   0.000120692929293
0                   0   0.000017424242424                   0   0.000060530303030
0                   0   0.002183543434343                   0   0.005996753535354
0                   0   0.000043937373737                   0   0.000191708080808
0                   0   0.006454606060606                   0   0.018024161616162
0                   0  -0.000260866666667                   0  -0.000810061616162
0                   0                   0                   0                   0
0                   0                   0                   0                   0
0                   0   0.000130460606061                   0   0.000130406060606
0                   0                   0                   0                   0
0                   0   0.000130406060606                   0   0.000679655555556
                   
                   
